"","random_sample1","random_sample2","random_sample3","random_sample4","random_sample5","random_sample6","random_sample7","random_sample8","random_sample9","random_sample10"
"KCNN3",443,64,807,716,1336,545,164,645,265,1256
"PBXIP1",2199,4962,3398,2229,3988,2716,2448,2112,3188,4693
"IL6R",4798,1617,3067,4023,1513,5360,5268,4905,3571,1831
"EFNA3",33,131,88,133,130,4,170,30,69,136
"LMNA",12212,13080,10649,14096,9653,10021,9151,9128,14232,16973
"MSTO1",48,33,42,45,30,32,62,45,56,49
"ASH1L",2154,2533,2746,2293,2853,3440,2711,3434,2393,2766
"MSTO2P",1,0.5,0,13.5,0.5,2,7.5,1,5.5,6
"SYT11",2650,4256,5280,2581,4295,3530,2160,3892,2464,3381
"MIR7851",0,1.5,1,0.5,2.5,2,1,0.5,0.5,1
"IQGAP3",38,5,1,23,22,4,12,22,2,6
"LRRC71",0,0,0,0,0,1,0,1,0,1
"PRCC",2017,1831,1514,2314,1701,1755,1764,2241,1886,2618
"FCRL4",0,0,0,0,0,0,0,0,0,0
"CD5L",0,0,0,0,0,0,0,0,0,0
"IFI16",6709,6110,4202,10298,5775,4065,2672,9832,6066,6390
"SPTA1",0,1,1,0,0,0,0,0,0,0
"COPA",9407,9919,10968,7632,8129,11580,11759,9079,8653,9581
"KCNJ10",0,0,0,0,0,0,0,0,0,0
"IGSF9",15,180,146,230,127,25,6,69,79,191
"CASQ1",0,0,0,0,0,0,0,92,0,90
"FCRL6",0,0,45,45,0,0,0,0,0,45
"CD244",0,0,1,0,0,0,0,0,0,0
"PFDN2",6405,4573,5033,3772,3943,4995,3704,4367,5297,5740
"NOS1AP",9,34,33,6,14,14,38,1,17,63
"ATF6",3436,3930,5748,3341,3796,5873,3388,5146,2826,4985
"NUF2",10,0,109,0,0,32,19,0,31,11
"RGS5",25640,3635,5869,202,22010,8847,17304,675,32994,17463
"DDR2",631,1492,1074,232,429,961,844,1393,928,1121
"RXRG",429,590,342,773,363,693,328,630,363,635
"LMX1A",3,0,0,0,0,0,0,0,0,0
"LOC400794",0,0,2,0,0,0,0,0,2,1
"FMO9P",0,0,0,0,0,0,0,0,0,0
"UCK2",1647,1334,1300,1533,1730,2208,524,1531,2173,2778
"FAM78B",1,67,0,3,1,0,0,1,7,109
"MAEL",22,44,81,24,2,22,90,22,0,22
"POU2F1",460,205,1074,541,1876,665,744,460,1111,860
"RCSD1",419,0,260,22,48,0,4,161,254,296
"DCAF6",1146,1706,1327,903,1913,913,1062,977,1588,1268
"MPC2",11765,8812,10967,8714,8624,15987,10525,12567,11227,11075
"TIPRL",2296,1861,2403,855,2126,1819,1280,2269,1976,2065
"DPT",236,33,720,2,302,407,112,99,407,1
"BLZF1",686,1077,174,191,647,706,396,1764,515,959
"ATP1B1",11782,16629,12700,9571,11441,13898,7767,8677,12830,12436
"NME7",941,1912,1335,1575,1308,2194,792,1532,950,916
"LINC00970",0,0,5,0,0,0,0,0,0,0
"PRRX1",231,120,270,21,198,145,297,291,431,384
"KIFAP3",2698,3498,3388,2180,2324,3429,1572,2760,1908,2393
"METTL11B",0,0,0,0,0,0,0,0,0,0
"FMO4",59,86,121,38,372,90,107,88,34,316
"VAMP4",1942,2494,2134,1192,2000,1532,1324,1495,1936,677
"FMO2",0,0,5,0,0,0,0,0,0,0
"SLC9C2",0,7,0,6,6,2,2,0,0,0
"DARS2",111,1106,883,355,103,691,414,59,437,460
"RC3H1",1347,885,989,993,1463,1667,477,1824,895,1107
"LOC100506023",234,244,270,208,239,258,302,293,190,323
"RABGAP1L",2319,2618,3544,2388,2350,3502,1503,1907,1043,2867
"CACYBP",7246,5453,4481,5940,2905,8391,6258,7672,4878,3907
"TNR",5,3,0,6,4,6,4,13,0,0
"PAPPA2",833,962,534,302,534,572,1525,449,1369,1400
"ASTN1",191,111,22,2,120,107,60,153,64,74
"LOC730102",840,734,619,576,1469,717,578,1067,819,705
"ABL2",2752,417,1808,1690,1355,1615,1270,2435,1641,1653
"FAM20B",437,1350,1048,586,888,1478,1102,594,955,805
"RALGPS2",701,1225,486,382,445,51,338,120,1039,141
"TDRD5",34,0,27,1,0,17,9,6,3,4
"AXDND1",1,1,2,3,0,1,5,1,4,25
"LHX4",10,50,1,0,32,22,1,0,11,34
"TOR1AIP2",7703,9774,8064,7891,8881,7982,6086,6921,8323,9019
"CEP350",4199,1946,3438,3503,1855,4185,3531,3462,3233,2646
"MR1",1055,809,1464,1213,934,789,1587,724,953,978
"XPR1",1137,1971,2653,1435,1432,2425,1806,1514,1574,3655
"CACNA1E",116,18,340,1,116,216,47,10,242,20
"LINC01344",0,0,0,0,0,0,0,0,0,0
"LAMC1",3944,4642,4743,3060,4829,4205,2385,2111,3961,3709
"DHX9",3012,3988,3960,2751,3105,3819,2911,2931,3930,3289
"NMNAT2",1525,1295,2321,327,750,1038,795,1529,710,1518
"RGL1",1425,1926,1581,726,1320,632,503,1097,1092,1481
"TSEN15",2791,2477,2615,1697,3555,3292,3119,1883,3611,3267
"EDEM3",2645,2556,3439,2212,2955,2071,3534,2118,2133,2313
"FAM129A",378,1659,681,1129,371,492,1634,149,1006,1675
"SWT1",122,169,93,59,183,237,224,252,294,530
"C1orf27",953,2716,1514,1252,1591,2486,1362,1026,1719,2141
"HMCN1",8,1,8,0,1,16,12,0,1,0
"RNU6-72P",0,0,0,0,0,0,0,0,0,0
"MIR548F1",0,0,0,0,0,0,0,0,0,0
"PLA2G4A",344,1316,973,336,831,345,221,366,27,711
"LOC440704",40,0,0,40,40,0,0,0,40,0
"BRINP3",0,0,0,0,0,4,0,0,0,0
"LINC01351",0,0,0,0,0,0,0,0,0,0
"RGS18",0,0,0,0,0,0,0,0,0,0
"CDC73",1735,1734,1943,1544,2095,2474,1438,1152,2381,3387
"GLRX2",935,874,877,593,582,865,679,907,904,764
"CFHR4",0,0,0,0,0,0,0,0,0,0
"KCNT2",345,469,416,311,481,334,378,518,68,387
"DENND1B",394,197,491,322,186,117,199,348,186,365
"CRB1",9,40,47,12,105,22,26,2,113,0
"PTPRC",215,430,0,448,215,0,106,221,218,221
"MIR181A1HG",62,9,25,7,56,11,7,21,7,81
"LINC01222",0,0,0,0,0,0,0,0,0,0
"NR5A2",773,2136,1485,3009,2279,1801,932,495,2006,2038
"CACNA1S",0,0,0,0,0,0,0,0,0,0
"IGFN1",2,2,5,37,4,4,35,0,18,1
"CAMSAP2",582,652,1424,542,812,952,957,451,791,1002
"KIF14",0,1,0,2,0,0,1,0,0,0
"IPO9-AS1",0,1,12,0,0,4,0,1,5,17
"CSRP1",4789,12416,9752,8083,8163,9334,7906,5394,9371,12196
"NAV1",6587,5576,6217,5361,5255,8399,8450,7569,7341,4836
"ELF3",3541,11873,13555,15362,9743,14117,7872,2497,9880,15252
"ARL8A",1814,813,1295,2399,999,1830,1870,2351,1397,1164
"LGR6",0,0,0,0,0,0,0,12,0,0
"IPO9",5710,2836,4089,3486,4554,3293,2394,3629,3056,3432
"KDM5B",1973,2450,2331,3038,3624,2332,2519,1326,2322,3225
"PPFIA4",0,0,40,40,1,6,3,0,0,40
"SYT2",0,31,26,33,26,1,1,1,0,84
"PLEKHA6",1316,1408,1738,1236,2089,2606,2781,1851,2341,2247
"SOX13",564,1625,736,1082,1108,281,722,707,1195,1080
"ZC3H11A",1531,895,1610,1069,1116,952,1315,1728,1149,1585
"ATP2B4",2760,2114,2332,1689,1858,1533,1471,2166,1875,3013
"LEMD1",0,0,0,0,0,154,0,0,0,0
"DSTYK",2195,1039,1874,663,980,1146,660,2126,1536,1665
"NFASC",1087,1580,2362,871,1169,1485,1388,1853,1931,1521
"LRRN2",40,2,128,279,181,68,85,12,204,61
"FAIM3",5056,566,1300,6264,615,6101,5583,6302,2814,617
"YOD1",385,245,460,53,248,155,254,64,43,526
"RASSF5",4950,2985,1375,4417,2640,3417,2957,4282,3021,2405
"CR1L",0,0,0,0,1,0,58,0,0,1
"CR1",0,0,0,0,0,0,0,0,0,0
"PLXNA2",3340,2415,3077,2526,2642,4313,1482,2611,3650,5489
"SYT14",499,678,34,146,953,421,737,174,437,475
"IRF6",1184,2074,2072,1060,1081,895,960,776,2132,1706
"KCNH1",1,7,32,0,7,0,0,32,123,43
"LPGAT1",1590,2515,1607,1560,2240,1281,2051,579,2231,2767
"INTS7",2798,829,1240,3444,1392,3759,3178,4141,2050,1956
"PPP2R5A",1688,1457,1030,861,1533,1006,539,1657,943,1219
"RPS6KC1",420,763,747,296,1281,323,243,797,599,1024
"PROX1",667,1210,1683,2010,2486,1260,1553,1371,1596,1772
"CENPF",193,593,27,0,343,27,232,197,192,347
"PTPN14",246,235,763,434,484,216,193,245,341,276
"KCNK2",0,0,0,0,0,0,0,0,0,0
"KCTD3",1758,1813,1425,825,1534,976,1257,875,1427,1599
"SPATA17",193,19,10,6,206,101,12,39,3,100
"GPATCH2",238,1152,831,1099,279,646,588,358,742,574
"RRP15",1650,2399,2201,1661,2184,2172,1234,1624,1858,1791
"LYPLAL1-AS1",0,0,1,3,1,0,2,0,3,0
"MARK1",584,1127,1145,630,1370,415,633,1120,974,682
"RAB3GAP2",3735,3791,2914,4031,3310,4606,3819,3426,5342,2918
"MARC1",16,53,158,80,134,59,72,9,55,266
"DUSP10",474,1608,507,1077,922,508,557,741,878,1029
"DISP1",529,643,91,581,594,226,116,31,172,302
"MIA3",2351,3400,3303,2356,3359,2355,1976,3220,2915,4126
"TP53BP2",755,1129,1206,397,638,655,418,485,958,702
"SUSD4",1765,1014,1532,934,1109,1689,931,679,1092,2159
"CAPN8",12,178,7,17,9,34,8,5,7,78
"CNIH3",755,384,584,40,436,207,353,183,472,412
"ENAH",2195,4569,3101,2832,2677,2995,2363,1100,2180,3037
"SRP9",7362,8558,9368,5546,7914,10205,5317,7849,6159,7873
"ACBD3",2481,1916,3626,1315,3034,1781,1496,1793,2908,2179
"CDC42BPA",2929,3838,4576,2153,3588,4237,2680,2816,3292,2461
"ADCK3",1012,2241,3809,2552,2504,2493,3204,2063,2159,3472
"ITPKB",1263,926,622,1321,1150,471,748,1200,784,1135
"C1orf95",50,0,151,4,52,102,3,0,100,0
"SNAP47",4673,2521,2737,4593,3299,7648,4022,4850,3616,1886
"OBSCN",100,116,216,256,562,254,369,200,405,251
"ZNF678",533,669,400,105,219,179,574,648,408,616
"WNT3A",0,0,18,0,0,0,4,0,18,23
"RHOU",90,509,462,275,570,205,270,64,419,282
"GALNT2",2274,3821,3241,5773,2674,2011,3162,2860,3617,6207
"URB2",319,155,344,384,326,108,143,64,61,96
"PGBD5",403,438,406,153,341,282,593,614,362,395
"TTC13",1182,360,2972,1534,1041,1416,781,494,1051,761
"COG2",1786,2582,2091,1388,1761,1620,1407,1845,1525,1824
"EXOC8",319,450,740,652,508,445,259,740,297,453
"TRIM67",4,0,0,0,0,0,0,0,0,0
"DISC1",0,0,8,8,4,0,0,0,0,12
"PCNXL2",136,256,568,148,346,342,833,109,398,667
"SLC35F3",304,505,239,94,197,303,429,194,157,555
"GNG4",5757,2025,3359,933,2427,3088,3704,4665,4203,4135
"TBCE",1464,714,545,303,813,960,1024,481,658,1427
"B3GALNT2",590,1364,1590,1483,1648,1269,949,1625,1253,1862
"ARID4B",3945,4314,4026,6077,4590,3877,2885,5841,3481,5105
"TOMM20",1757,3294,3421,2462,2737,3158,2202,2019,2326,3902
"GPR137B",661,597,700,564,846,866,654,879,1036,1072
"EDARADD",4924,4315,5378,4679,4501,6110,4748,6240,4976,6038
"NID1",2643,3561,4695,897,3121,2383,2195,2550,2571,2289
"HEATR1",1042,383,301,442,949,138,250,489,125,510
"LGALS8",2692,2836,3333,2573,4170,4023,3034,2053,4086,3683
"RYR2",68,289,90,223,33,39,231,28,254,130
"CHRM3",373,480,481,177,119,136,472,48,475,741
"FMN2",491,306,565,249,956,789,550,771,284,633
"KMO",20,4,55,3,2,0,2,2,0,0
"WDR64",0,0,0,2,0,0,0,1,1,40
"PLD5",0,0,0,0,0,0,0,1,1,0
"CEP170",1239,655,1397,856,1291,464,493,1168,842,981
"AKT3",1523,2323,2722,966,1883,1682,2083,1462,2620,2593
"SDCCAG8",3009,3330,2715,1917,2026,3770,1764,4211,2051,3228
"LOC339529",0,0,0,0,0,0,0,0,7,0
"ADSS",1980,2665,2120,2690,2761,3037,1666,1956,2301,2430
"C1orf101",120,27,164,5,129,115,20,108,134,106
"EFCAB2",1039,1731,1930,721,752,1108,595,755,777,1039
"DESI2",956,806,780,731,1244,1459,422,2560,1054,2038
"CNST",2289,1681,1939,2649,2819,3004,825,1769,3100,2720
"ZNF670-ZNF695",0,0,0,0,0,0,0,0,0,0
"ZNF124",208,214,277,149,427,380,386,182,157,338
"AHCTF1",595,442,394,284,392,238,379,217,383,748
"ZNF670",39,225,226,223,11,184,52,40,196,739
"NLRP3",13,13,132,0,1,1,34,6,116,7
"GCSAML",86,77,26,94,86,0,108,60,34,138
"OR2L13",0,0,0,3,0,0,0,0,0,1
"OR4F5",0,0,0,0,0,0,0,0,0,0
"DDX11L1",0,0,0,0,0,0,0,0,0,0
"FAM138A+FAM138F",0,0,0,0,0,0,0,0,0,0
"WASH7P",0,1,5,3,6,0,0,1,0,10
"MIR6859-1+MIR6859-2",0,0,0,0,0,0,0,0,0,0
"LOC729737",9,9,21,5,5,7,9,15,6,22
"LOC100132062+LOC100132287+LOC100133331",0,0,0.5,0,0,0,0,0,0,0.5
"OR4F16+OR4F29+OR4F3",0.666666666666667,0.333333333333333,0,0.666666666666667,0,0,0,0.333333333333333,0,1
"MIR6723",36,24,28,13,33,16,21,14,19,30
"LOC100133331",1,23,18,12,9,14,4,4,4,6
"LOC100288069",4,2,0,3,9,0,16,0,1,5
"FAM87B",0,0,3,0,2,1,0,0,2,0
"LINC00115",75,16,33,39,60,31,32,11,2,59
"KLHL17",112,309,372,89,101,303,54,113,756,419
"LOC100130417",0,90,33,0,1,0,0,0,0,126
"NOC2L",770,1527,1259,876,721,1003,1037,1024,891,1119
"PERM1",0,9,13,19,2,3,0,0,16,29
"FAM41C",0,0,0,0,0,0,0,0,0,0
"PLEKHN1",0,59,41,205,12,0,3,1,89,71
"SAMD11",312,345,965,664,610,604,720,652,184,1161
"ISG15",1567,1727,2818,2217,3200,1685,911,1674,2515,4109
"HES4",1092,1171,2370,767,1520,261,1909,332,2546,1272
"RNF223",0,6,45,44,42,0,2,1,28,70
"AGRN",513,963,1965,1638,1073,597,677,557,1459,1442
"TNFRSF4",2284,0,411,1213,1301,323,682,3376,358,655
"MIR200B",0,0,0,0,0,0,0,0,0,0
"MIR200A",0,0,0,0,0,0,0,0,0,0
"MIR429",0,2,1,4,1,15,1,0,3,3
"TTLL10",0,66,0,0,0,0,0,0,0,1
"B3GALT6",649,771,791,484,961,507,433,673,919,1208
"SDF4",5018,6126,7048,5599,5437,3902,4800,4147,5869,8937
"TNFRSF18",129,8,94,0,16,268,171,217,4,15
"LINC01342",0,0,11,0,0,0,0,0,0,25
"DVL1",728,1058,739,493,795,1088,606,414,800,1113
"SCNN1D",177,209,459,69,157,210,301,51,8,327
"TAS1R3",0,2,11,2,310,0,8,0,8,0
"MIR6808",0,0,0,0,0,0,0,0,0,0
"CPSF3L",5369,2572,2999,5972,2292,5751,5940,6391,4181,4779
"UBE2J2",3503,2581,3918,3403,2669,4047,4526,3917,3286,2775
"MXRA8",3122,2471,4962,120,3547,1964,5018,1804,3334,511
"PUSL1",1338,1440,991,1507,1472,1195,1040,1023,1504,1046
"ACAP3",646,1150,1487,966,859,862,845,748,1151,1313
"CPTP",208,788,1164,609,399,299,540,213,1029,921
"MIR6727",0,0,0,0,2,5,0,0,0,0
"MIR6726",0,0,0,0,0,0,0,0,0,0
"ANKRD65",2064,1675,2600,1729,2435,2960,1851,2894,1901,2907
"VWA1",6577,2939,8108,10209,14975,4067,3661,7867,3092,19674
"ATAD3C",163,213,206,123,319,154,328,159,203,223
"TMEM88B",0,0,0,0,0,0,0,0,0,0
"MRPL20",7212,6207,5690,7754,5197,8716,6496,8076,6302,7141
"CCNL2",4566,8059,5809,9232,4307,4780,4885,9854,7655,11168
"ATAD3B",232,146,458,311,235,196,361,249,284,356
"LOC148413",2257,374,1123,2780,618,2969,2600,2898,2214,782
"MIB2",468,501,1089,855,859,379,553,569,751,707
"MMP23A",0,0,0,0,0,0,0,0,0,0
"ATAD3A",349,356,292,453,414,129,304,203,362,569
"SSU72",7007,6979,9783,7617,5790,9774,5572,8150,7796,10342
"MMP23B",0,0,3,0,6,0,3,0,0,3
"C1orf233",93,209,330,59,226,234,306,33,153,218
"TMEM240",3,7,9,2,13,4,9,5,22,11
"SLC35E2",176,350,266,200,279,291,219,301,274,520
"CDK11A",61,50,66,45,46,54,31,64,65,88
"SLC35E2B",514,783,598,302,1112,979,796,2196,366,2524
"GNB1",8739,7458,9223,8631,8128,10523,7553,10230,9299,9820
"TMEM52",121,480,87,244,333,577,385,3,145,503
"CALML6",0,0,4,0,0,0,0,1,4,1
"GABRD",21,0,17,3,4,33,19,9,2,2
"KIAA1751",4,1,5,0,0,8,4,0,0,1
"C1orf86",1693,1988,2654,1185,1898,1853,2554,1242,2298,2262
"PEX10",314,602,767,698,579,905,553,279,612,736
"LOC100129534",228,225,238,114,307,234,201,206,193,228
"RER1",3888,5796,5008,3753,5790,6400,4433,4888,5436,6003
"MORN1",71,38,112,107,179,182,182,133,34,75
"PLCH2",11,23,378,55,164,68,1,10,68,41
"PANK4",3021,1278,1573,3646,1715,4070,3793,3962,2371,1352
"LOC100133445",968,206,381,1082,404,1188,1122,1223,666,343
"LOC115110",84,200,164,267,346,31,46,40,97,588
"HES5",2,4,0,4,2,0,1,2,2,2
"FAM213B",2038,778,1645,2733,1398,2584,2485,2383,1577,2413
"MMEL1",0,41,9,4,1,2,3,3,15,29
"LOC100996583",0,0,4,10,0,0,3,0,0,144
"ACTRT2",0,0,0,0,0,0,0,0,0,0
"LINC00982",39,202,168,78,288,109,216,44,231,143
"MIR4251",0,0,0,0,0,0,0,0,0,0
"ARHGEF16",643,846,1307,724,766,873,571,267,1166,975
"MIR551A",0,0,0,0,0,0,0,0,0,0
"TP73",6,11,3,27,0,102,17,0,91,18
"TP73-AS1",175,347,328,334,243,273,228,462,510,512
"WRAP73",761,821,1212,779,1695,1151,602,227,1288,1430
"TPRG1L",1252,1487,2867,1978,1718,2354,1335,1416,1004,1861
"LRRC47",1823,1948,2873,1252,2600,2252,1964,4358,1534,4630
"CEP104",286,422,899,629,724,399,371,319,469,1029
"SMIM1",342,140,523,389,602,495,291,273,366,251
"C1orf174",2188,1497,2069,1635,2472,2693,1412,2181,2180,2208
"LINC01134",22,8,31,69,11,32,15,47,24,54
"LINC01346",0,0,0,0,0,0,0,0,0,0
"LOC284661",6,0,0,0,0,0,0,0,0,0
"MIR4417",0,0,0,0,0,0,0,0,0,0
"MIR4689",0,0,0,0,0,0,0,0,0,0
"RPL22",3075,2280,3332,1904,1684,2476,2004,2844,2243,2803
"RNF207",334,375,342,172,347,58,208,53,353,158
"CHD5",141,29,379,27,129,86,162,19,296,235
"GPR153",291,94,253,65,296,100,184,356,295,561
"LINC00337",0,0,0,0,0,0,6,0,0,0
"HES3",0,0,0,0,0,0,0,0,0,0
"MIR4252",0,0,0,0,0,0,0,0,0,0
"ESPN",9,18,36,14,1,37,49,9,4,9
"TNFRSF25",161,60,10,0,0,13,20,120,25,40
"HES2",3,4,22,1,1,0,4,0,3,27
"TAS1R1",0,0,0,1,0,0,1,0,0,0
"KLHL21",3622,1483,2361,4857,1481,4342,4162,3940,2733,2162
"NOL9",511,1183,1167,458,1386,815,1072,574,1068,635
"ZBTB48",680,346,797,324,627,701,554,317,900,964
"PHF13",149,114,476,243,343,887,339,322,192,674
"DNAJC11",1318,719,1094,2153,511,2309,1391,2383,1452,1432
"THAP3",2181,1577,1679,2071,1075,2108,1951,2168,1985,932
"LOC100505887",0,0,0,0,0,0,0,0,0,0
"VAMP3",6510,5490,5225,3478,4441,6133,4545,4779,6028,8485
"UTS2",0,0,0,0,0,8,2,0,4,0
"PARK7",21334,22954,20327,17776,16371,20327,15980,19754,20830,21150
"ERRFI1",2182,2157,1685,1456,1101,2504,2940,2619,894,1776
"ENO1",41912,47195,42235,48124,39371,55277,38205,42554,45805,51000
"CA6",0,0,0,0,0,0,0,0,0,0
"ENO1-AS1",97,147,31,25,65,43,94,123,23,38
"MIR6728",0,0,0,1,0,0,0,0,0,0
"SLC2A7",0,0,0,0,0,0,0,0,0,0
"SLC2A5",1,0,0,0,0,12,0,0,0,0
"MIR34A",0,0,0,0,0,0,0,0,0,0
"SPSB1",959,887,1504,960,1621,462,909,1035,1174,774
"LOC100506022",17,17,16,26,229,5,34,27,29,21
"TMEM201",339,167,694,313,445,211,353,255,238,703
"SLC25A33",198,247,310,124,207,214,196,235,226,168
"C1orf200",0,0,0,0,0,0,0,0,0,0
"PIK3CD",24,399,212,101,381,441,283,966,147,1062
"RBP7",121,4,70,68,136,103,3,59,17,204
"LZIC",1255,1979,880,868,782,955,928,1144,835,1044
"NMNAT1",564,1124,773,374,235,420,336,401,438,600
"PGD",2911,5249,4347,5248,3565,4282,3008,2201,4109,5014
"APITD1",36,119,38,114,159,93,113,164,138,157
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0
"DFFA",2277,3138,2894,2607,2324,3041,1072,2170,2363,2046
"CORT",0,0,8,0,0,0,0,20,1,0
"TARDBP",6599,5978,6307,6263,5121,5359,5004,7563,4884,5031
"SRM",1740,1437,2668,1992,1797,1304,2996,738,2900,2259
"MASP2",105,281,142,122,185,118,102,132,220,145
"ANGPTL7",3,3,1,1,0,0,0,0,0,0
"MTOR-AS1",0,0,0,0,0,0,0,0,0,0
"UBIAD1",1228,1350,1877,1289,1978,1812,1843,1545,1877,1459
"PTCHD2",262,115,61,58,129,75,156,186,9,160
"FBXO6",872,868,379,241,724,220,327,224,398,886
"FBXO44",1208,1053,1361,288,724,1399,836,1086,1546,1306
"MAD2L2",1587,2972,1905,2327,1521,2748,1931,1307,2318,2508
"FBXO2",1023,2376,2355,2277,1467,1473,2600,968,2758,2774
"DRAXIN",0,2,0,4,6,0,0,0,0,0
"LOC101929181",1,0,1,0,1,0,0,0,0,0
"CLCN6",842,1262,1049,584,1053,599,1088,1285,1073,1150
"NPPA-AS1",9,27,31,9,12,21,13,5,31,6
"NPPB",0,5,0,210,4,0,0,0,206,0
"NPPA",27,40,70,48,81,83,32,14,56,18
"MTHFR",491,1163,666,419,884,808,937,111,1039,655
"C1orf167",0,0,1,1,0,1,0,0,0,0
"PLOD1",3417,5781,5596,5214,5423,4309,2832,5143,4750,8466
"KIAA2013",681,843,1313,942,955,1310,966,820,1314,1384
"MIIP",1259,971,1022,925,1516,1385,685,813,1058,1229
"MIR6729",0,0,0,0,0,0,0,0,0,0
"TNFRSF1B",4599,523,1055,5648,555,5626,5121,5633,2572,566
"MIR4632",9,1,2,11,1,11,10,11,5,1
"MIR7846",9,1,3,12,3,11,10,11,5,4
"SNORA59A+SNORA59B",0,0,0,0,0,0,0,0,0,0
"DHRS3",15184,20115,18362,30054,22378,25584,12168,21631,22978,25438
"MIR6730",0,5,0,0,0,0,0,0,0,0
"PRAMEF12",0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0
"C1orf158",23,2,2,0,10,0,0,21,3,1
"PRAMEF2",0,0,0,0,0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,0,0,0,0,0
"LOC649330",0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0
"PRAMEF1",0,0,0,0,0,0,0,0,0,0
"PRAMEF7+PRAMEF8",0,0,0,0,0,0,0,0,0,0
"PRAMEF9",0,0,0,0,0,0,0,0,0,0
"PRAMEF6",0,0,0,0,0,0,0,0,0,0
"PRAMEF22",0,0,0,0,0,0,0,0,0,0
"HNRNPCL2",0,1,0,0,0,0,1,4,1,2
"PRAMEF5",0,0,0,0,0,0,0,0,0,0
"LOC645354+LOC649324",0,0,0,0,0,0,0,0,0,0
"PRAMEF15",0,0,0,0,0,0,0,0,0,0
"PRAMEF19",0,0,0,0,0,0,0,0,0,0
"PRAMEF16",0,0,0,0,0,0,0,0,0,0
"LOC400736+PRAMEF14",0,0,0,0,0,0,0,0,0,0
"PRAMEF17",0,0,0,0,0,0,0,0,0,0
"PRAMEF20",0,0,0,0,0,0,0,0,0,0
"LRRC38",0,0,0,0,0,0,0,0,0,0
"PDPN",5718,987,1268,6838,769,6894,6501,6966,3306,757
"PRDM2",1038,1086,1504,1043,1174,2390,1633,537,2018,1632
"TMEM51",586,1755,2228,2581,1747,1174,1274,754,2699,2503
"C1orf195",2,1,1,0,0,4,1,0,0,1
"CASP9",695,1293,1044,696,925,409,332,425,624,729
"CELA2A",2193,10017,11075,16452,171,3769,24436,633,9337,12153
"EFHD2",1803,1317,1338,1417,1072,1286,1338,1019,1776,1879
"CTRC",5862,19833,17707,33052,142,25563,38064,939,23784,39816
"CELA2B",24,245,307,520,6,126,810,0,151,651
"DDI2",255,241,93,316,264,753,143,17,622,410
"AGMAT",86,132,142,138,114,263,108,120,137,210
"RSC1A1",23,15,41,46,211,71,25,41,60,141
"SLC25A34",509,346,351,234,508,2429,797,2148,247,446
"PLEKHM2",3422,1711,2097,3317,2100,4373,3884,3368,3209,3230
"FBLIM1",1132,2951,3127,2590,1783,2181,1749,921,1305,2436
"TMEM82",0,1,1,0,0,0,2,0,10,7
"UQCRHL",1153,1079,1529,1017,1259,1126,1043,1050,1254,1273
"FLJ37453",945,925,564,890,955,517,440,436,627,883
"ZBTB17",1173,1087,1087,938,1217,676,978,1167,610,2643
"CLCNKB",0,1,3,158,102,0,0,0,0,0
"CLCNKA",0,4,7,9,2,0,0,0,17,4
"C1orf64",0,0,0,0,0,0,0,0,0,0
"HSPB7",0,3,14,278,12,15,50,0,356,0
"EPHA2",1592,702,739,1565,1708,628,182,2492,783,1671
"FAM131C",203,191,611,405,440,546,435,286,799,446
"RSG1",182,162,111,54,174,234,115,98,78,206
"ARHGEF19",34,137,231,204,248,222,136,52,91,167
"SZRD1",2493,3684,3404,2646,3112,3002,2229,3568,3215,4225
"SPATA21",0,0,17,2,0,0,0,0,1,1
"CROCCP3",106,61,220,47,31,31,138,254,106,62
"MIR3675",0,0,0,0,0,0,0,0,0,0
"MST1P2",16,102,182,93,96,68,88,56,123,129
"CROCCP2",1195,524,841,1407,772,1289,1143,1295,1088,853
"FAM231A",0,0,0,0,0,0,0,0,0,0
"MST1L",47,215,375,174,244,205,71,49,158,192
"CROCC",1089,603,555,1417,271,1416,1378,1470,687,520
"ATP13A2",1595,1644,1224,1836,1872,1413,1526,1737,1521,3588
"SDHB",9721,11915,10099,10372,9513,12617,6519,8950,12209,13059
"PADI4",30,60,0,60,30,0,15,30,30,30
"PADI3",1,0,11,0,0,0,0,0,0,0
"RCC2",254,751,803,490,712,299,342,97,591,844
"PADI6",0,0,0,0,0,0,0,0,0,0
"KLHDC7A",0,121,58,40,60,8,17,13,77,50
"TAS1R2",0,0,0,0,0,0,0,0,0,0
"ALDH4A1",22,124,182,182,148,177,51,32,274,230
"MIR4695",0,0,0,0,0,0,0,0,0,0
"AKR7A2",4586,4532,5526,4043,4861,5346,5923,4697,4506,4822
"PQLC2",1198,1733,1701,862,813,1528,1114,606,1541,1628
"AKR7A3",120,991,394,1462,115,244,1307,49,1031,1020
"AKR7L",24,62,99,120,92,10,41,38,38,125
"LOC100506730",39,66,57,29,55,34,83,110,85,54
"EMC1",3870,3264,3509,2503,2613,3713,2545,2911,2552,2875
"MRTO4",1369,1712,1380,2570,1000,1693,903,1506,2047,1956
